instrument,datetime,open,high,low,close
XAUUSD,2026-08-11 02:00:00+00:00,4429.705,4435.245,4408.09,4410.975
XAUUSD,2026-08-11 03:00:00+00:00,4410.96,4421.675,4409.835,4416.9
XAUUSD,2026-08-11 04:00:00+00:00,4416.895,4420.5,4403.49,4409.005
XAUUSD,2026-08-11 05:00:00+00:00,4408.995,4409.15,4367.52,4375.47
XAUUSD,2026-08-11 06:00:00+00:00,4375.47,4382.7,4359.675,4366.325
XAUUSD,2026-08-11 07:00:00+00:00,4366.315,4367.97,4356.7,4357.655
XAUUSD,2026-08-11 08:00:00+00:00,4357.635,4376.765,4357.0,4369.29
XAUUSD,2026-08-11 09:00:00+00:00,4369.245,4375.655,4367.675,4372.505
XAUUSD,2026-08-11 10:00:00+00:00,4372.57,4382.77,4371.37,4382.56
XAUUSD,2026-08-11 11:00:00+00:00,4382.485,4393.11,4380.565,4387.8
XAUUSD,2026-08-11 12:00:00+00:00,4387.8,4400.185,4383.875,4392.53
XAUUSD,2026-08-11 13:00:00+00:00,4392.52,4404.29,4384.645,4389.5
XAUUSD,2026-08-11 14:00:00+00:00,4389.35,4397.99,4381.29,4394.125
XAUUSD,2026-08-11 15:00:00+00:00,4394.175,4398.83,4369.15,4383.905
XAUUSD,2026-08-11 16:00:00+00:00,4383.92,4385.9,4378.52,4383.46
XAUUSD,2026-08-11 17:00:00+00:00,4383.5,4385.765,4368.935,4369.19
XAUUSD,2026-08-11 18:00:00+00:00,4369.225,4372.69,4360.295,4371.59
XAUUSD,2026-08-11 19:00:00+00:00,4371.655,4374.28,4361.265,4370.74
XAUUSD,2026-08-11 20:00:00+00:00,4370.745,4371.225,4367.18,4368.245
XAUUSD,2026-08-11 22:00:00+00:00,4372.355,4378.52,4367.28,4369.2
XAUUSD,2026-08-11 23:00:00+00:00,4369.19,4374.77,4362.655,4371.645
XAUUSD,2026-08-12 00:00:00+00:00,4371.65,4383.8,4366.54,4380.5
XAUUSD,2026-08-12 01:00:00+00:00,4380.585,4397.42,4378.445,4396.5
XAUUSD,2026-08-12 02:00:00+00:00,4396.505,4414.5,4394.21,4411.32
XAUUSD,2026-08-12 03:00:00+00:00,4411.355,4416.25,4401.065,4402.36
XAUUSD,2026-08-12 04:00:00+00:00,4402.365,4403.425,4395.44,4401.175
XAUUSD,2026-08-12 05:00:00+00:00,4401.125,4404.88,4384.02,4391.025
XAUUSD,2026-08-12 06:00:00+00:00,4391.01,4406.445,4385.235,4403.55
XAUUSD,2026-08-12 07:00:00+00:00,4403.545,4410.145,4398.345,4406.355
XAUUSD,2026-08-12 08:00:00+00:00,4406.355,4410.545,4401.8,4401.895
XAUUSD,2026-08-12 09:00:00+00:00,4401.95,4424.46,4401.925,4416.055
XAUUSD,2026-08-12 10:00:00+00:00,4416.09,4421.025,4407.575,4412.88
XAUUSD,2026-08-12 11:00:00+00:00,4412.885,4416.805,4407.995,4412.935
XAUUSD,2026-08-12 12:00:00+00:00,4412.955,4438.305,4382.485,4437.37
XAUUSD,2026-08-12 13:00:00+00:00,4437.37,4441.315,4408.65,4427.53
XAUUSD,2026-08-12 14:00:00+00:00,4427.535,4439.75,4416.545,4422.16
XAUUSD,2026-08-12 15:00:00+00:00,4422.245,4430.14,4411.145,4421.17
XAUUSD,2026-08-12 16:00:00+00:00,4421.145,4426.57,4396.575,4401.68
XAUUSD,2026-08-12 17:00:00+00:00,4401.685,4411.575,4399.135,4399.62
XAUUSD,2026-08-12 18:00:00+00:00,4399.625,4418.005,4396.575,4413.165
XAUUSD,2026-08-12 19:00:00+00:00,4413.185,4418.475,4408.335,4414.01
XAUUSD,2026-08-12 20:00:00+00:00,4414.08,4414.37,4406.725,4408.525
XAUUSD,2026-08-12 22:00:00+00:00,4405.785,4405.8,4398.43,4401.865
XAUUSD,2026-08-12 23:00:00+00:00,4401.835,4414.62,4401.835,4414.515
XAUUSD,2026-08-13 00:00:00+00:00,4414.565,4449.83,4413.06,4427.76
XAUUSD,2026-08-13 01:00:00+00:00,4427.71,4435.44,4406.33,4408.55
XAUUSD,2026-08-13 02:00:00+00:00,4408.5,4414.245,4399.135,4407.215
XAUUSD,2026-08-13 03:00:00+00:00,4407.145,4412.29,4398.78,4400.3
XAUUSD,2026-08-13 04:00:00+00:00,4400.235,4400.525,4391.615,4397.825
XAUUSD,2026-08-13 05:00:00+00:00,4397.85,4407.31,4380.63,4383.06
XAUUSD,2026-08-13 06:00:00+00:00,4383.12,4385.68,4369.035,4381.075
XAUUSD,2026-08-13 07:00:00+00:00,4381.06,4381.84,4369.405,4369.96
XAUUSD,2026-08-13 08:00:00+00:00,4369.93,4379.355,4364.17,4376.025
XAUUSD,2026-08-13 09:00:00+00:00,4375.995,4384.92,4372.605,4384.635
XAUUSD,2026-08-13 10:00:00+00:00,4384.66,4393.86,4381.51,4392.245
XAUUSD,2026-08-13 11:00:00+00:00,4392.215,4396.715,4382.99,4387.865
XAUUSD,2026-08-13 12:00:00+00:00,4387.8,4401.9,4380.88,4401.82
XAUUSD,2026-08-13 13:00:00+00:00,4401.745,4402.215,4370.84,4373.045
XAUUSD,2026-08-13 14:00:00+00:00,4373.055,4387.19,4357.395,4383.705
XAUUSD,2026-08-13 15:00:00+00:00,4383.725,4385.73,4357.755,4365.145
XAUUSD,2026-08-13 16:00:00+00:00,4365.13,4368.5,4351.355,4366.95
XAUUSD,2026-08-13 17:00:00+00:00,4367.0,4373.435,4355.81,4356.06
XAUUSD,2026-08-13 18:00:00+00:00,4356.05,4363.73,4354.75,4357.045
XAUUSD,2026-08-13 19:00:00+00:00,4357.125,4358.97,4343.65,4350.255
XAUUSD,2026-08-13 20:00:00+00:00,4350.235,4352.28,4346.985,4351.27
XAUUSD,2026-08-13 22:00:00+00:00,4353.405,4362.945,4353.015,4354.91
XAUUSD,2026-08-13 23:00:00+00:00,4354.92,4364.45,4349.315,4356.475
XAUUSD,2026-08-14 00:00:00+00:00,4356.46,4362.045,4329.42,4341.095
XAUUSD,2026-08-14 01:00:00+00:00,4341.085,4341.325,4312.22,4318.255
XAUUSD,2026-08-14 02:00:00+00:00,4318.26,4322.94,4311.27,4315.84
XAUUSD,2026-08-14 03:00:00+00:00,4315.76,4328.465,4313.835,4323.66
XAUUSD,2026-08-14 04:00:00+00:00,4323.67,4328.225,4322.855,4327.015
XAUUSD,2026-08-14 05:00:00+00:00,4327.055,4333.67,4311.04,4333.67
XAUUSD,2026-08-14 06:00:00+00:00,4333.62,4336.82,4328.05,4335.785
XAUUSD,2026-08-14 07:00:00+00:00,4335.76,4345.385,4329.81,4343.83
XAUUSD,2026-08-14 08:00:00+00:00,4343.855,4349.845,4341.935,4348.605
XAUUSD,2026-08-14 09:00:00+00:00,4348.555,4357.525,4346.14,4357.17
XAUUSD,2026-08-14 10:00:00+00:00,4357.175,4358.76,4348.095,4349.425
XAUUSD,2026-08-14 11:00:00+00:00,4349.47,4369.46,4348.63,4369.195
XAUUSD,2026-08-14 12:00:00+00:00,4369.19,4386.965,4365.79,4373.725
XAUUSD,2026-08-14 13:00:00+00:00,4373.785,4397.06,4370.32,4384.68
XAUUSD,2026-08-14 14:00:00+00:00,4384.62,4394.745,4378.885,4381.445
XAUUSD,2026-08-14 15:00:00+00:00,4381.47,4394.785,4379.075,4391.695
XAUUSD,2026-08-14 16:00:00+00:00,4391.7,4396.845,4380.415,4386.015
XAUUSD,2026-08-14 17:00:00+00:00,4386.105,4386.53,4376.47,4378.59
XAUUSD,2026-08-14 18:00:00+00:00,4378.585,4382.84,4371.005,4373.6
XAUUSD,2026-08-14 19:00:00+00:00,4373.525,4379.99,4372.115,4376.23
XAUUSD,2026-08-14 20:00:00+00:00,4376.22,4377.005,4371.495,4376.82
XAUUSD,2026-08-16 22:00:00+00:00,4372.68,4386.86,4372.31,4386.04
XAUUSD,2026-08-16 23:00:00+00:00,4386.0,4386.345,4367.29,4370.235
XAUUSD,2026-08-17 00:00:00+00:00,4370.315,4402.015,4368.1,4401.08
XAUUSD,2026-08-17 01:00:00+00:00,4401.005,4416.55,4392.055,4395.755
XAUUSD,2026-08-17 02:00:00+00:00,4395.75,4398.315,4388.455,4393.255
XAUUSD,2026-08-17 03:00:00+00:00,4393.25,4397.69,4388.285,4397.045
XAUUSD,2026-08-17 04:00:00+00:00,4397.035,4399.635,4389.015,4390.86
XAUUSD,2026-08-17 05:00:00+00:00,4390.78,4401.475,4386.94,4394.86
XAUUSD,2026-08-17 06:00:00+00:00,4394.855,4404.71,4392.815,4403.17
XAUUSD,2026-08-17 07:00:00+00:00,4403.085,4411.32,4396.08,4405.19
XAUUSD,2026-08-17 08:00:00+00:00,4405.195,4405.195,4392.69,4395.18
XAUUSD,2026-08-17 09:00:00+00:00,4395.19,4400.625,4392.55,4395.62
XAUUSD,2026-08-17 10:00:00+00:00,4395.655,4405.97,4392.03,4399.08
XAUUSD,2026-08-17 11:00:00+00:00,4399.115,4404.98,4395.46,4396.75
XAUUSD,2026-08-17 12:00:00+00:00,4396.755,4398.82,4377.355,4384.935
XAUUSD,2026-08-17 13:00:00+00:00,4385.015,4416.31,4381.94,4408.645
XAUUSD,2026-08-17 14:00:00+00:00,4408.695,4427.6,4403.805,4417.48
XAUUSD,2026-08-17 15:00:00+00:00,4417.485,4427.85,4415.335,4427.615
XAUUSD,2026-08-17 16:00:00+00:00,4427.63,4428.89,4422.675,4424.245
XAUUSD,2026-08-17 17:00:00+00:00,4424.255,4426.23,4411.205,4413.765
XAUUSD,2026-08-17 18:00:00+00:00,4413.765,4416.255,4398.205,4406.77
XAUUSD,2026-08-17 19:00:00+00:00,4406.68,4421.055,4400.405,4419.965
XAUUSD,2026-08-17 20:00:00+00:00,4419.935,4421.47,4414.61,4416.68
XAUUSD,2026-08-17 22:00:00+00:00,4416.205,4417.28,4410.49,4411.87
XAUUSD,2026-08-17 23:00:00+00:00,4411.92,4426.305,4409.89,4426.12
XAUUSD,2026-08-18 00:00:00+00:00,4426.095,4434.88,4419.06,4434.46
XAUUSD,2026-08-18 01:00:00+00:00,4434.435,4436.23,4404.32,4408.185
XAUUSD,2026-08-18 02:00:00+00:00,4408.01,4408.39,4394.175,4399.985
XAUUSD,2026-08-18 03:00:00+00:00,4400.0,4404.175,4390.63,4391.965
XAUUSD,2026-08-18 04:00:00+00:00,4391.98,4395.58,4389.02,4393.69
XAUUSD,2026-08-18 05:00:00+00:00,4393.66,4397.66,4386.185,4394.465
XAUUSD,2026-08-18 06:00:00+00:00,4394.43,4400.395,4387.755,4398.93
XAUUSD,2026-08-18 07:00:00+00:00,4398.92,4403.735,4395.495,4395.71
XAUUSD,2026-08-18 08:00:00+00:00,4395.825,4398.775,4386.91,4393.44
XAUUSD,2026-08-18 09:00:00+00:00,4393.385,4395.08,4387.03,4393.32
XAUUSD,2026-08-18 10:00:00+00:00,4393.375,4399.68,4389.8,4397.63
XAUUSD,2026-08-18 11:00:00+00:00,4397.705,4399.055,4388.675,4396.07
XAUUSD,2026-08-18 12:00:00+00:00,4396.21,4400.85,4389.67,4394.225
XAUUSD,2026-08-18 13:00:00+00:00,4394.23,4406.9,4376.195,4394.695
XAUUSD,2026-08-18 14:00:00+00:00,4394.705,4406.48,4363.775,4366.685
XAUUSD,2026-08-18 15:00:00+00:00,4366.725,4377.795,4351.765,4364.925
XAUUSD,2026-08-18 16:00:00+00:00,4364.92,4371.73,4363.125,4363.835
XAUUSD,2026-08-18 17:00:00+00:00,4363.83,4368.355,4356.85,4357.725
XAUUSD,2026-08-18 18:00:00+00:00,4357.755,4361.12,4352.705,4354.43
XAUUSD,2026-08-18 19:00:00+00:00,4354.43,4358.76,4338.395,4345.725
XAUUSD,2026-08-18 20:00:00+00:00,4345.785,4346.665,4329.265,4334.575
XAUUSD,2026-08-18 22:00:00+00:00,4341.965,4343.83,4332.77,4333.83
XAUUSD,2026-08-18 23:00:00+00:00,4334.045,4338.45,4327.27,4333.105
XAUUSD,2026-08-19 00:00:00+00:00,4333.14,4347.42,4331.635,4338.155
XAUUSD,2026-08-19 01:00:00+00:00,4338.015,4357.765,4324.68,4356.63
